fw,mver,lts,dst_name,af,dst_addr,src_addr,proto,ttl,size,result,dup,rcvd,sent,min,max,avg,msm_id,prb_id,timestamp,msm_name,from,type,step,stored_timestamp
5080,2.6.2,4,198.41.0.4,4,198.41.0.4,10.211.10.200,ICMP,52.0,32,"[{'rtt': 40.513978}, {'rtt': 40.448852}, {'rtt': 40.786084}]",0,3,3,40.448852,40.786084,40.58297133333333,1009,62197,1789354428,Ping,72.46.40.70,ping,240,1789354483
5080,2.6.2,1,198.41.0.4,4,198.41.0.4,10.0.127.37,ICMP,55.0,32,"[{'rtt': 19.509341}, {'rtt': 19.02499}, {'rtt': 19.281247}]",0,3,3,19.02499,19.509341,19.27185933333333,1009,62228,1789354383,Ping,46.245.223.168,ping,240,1789354510
5080,2.6.2,32,198.41.0.4,4,198.41.0.4,192.168.1.200,ICMP,52.0,32,"[{'rtt': 16.239128}, {'rtt': 16.57331}, {'rtt': 16.179045}]",0,3,3,16.179045,16.57331,16.330494333333334,1009,62241,1789354433,Ping,82.126.241.170,ping,240,1789354454
5080,2.6.2,19,198.41.0.4,4,198.41.0.4,192.168.1.38,ICMP,56.0,32,"[{'rtt': 52.637473}, {'rtt': 45.984084}, {'rtt': 49.333181}]",0,3,3,45.984084,52.637473,49.318245999999995,1009,62266,1789354423,Ping,78.240.155.136,ping,240,1789354492
5080,2.6.2,116,198.41.0.4,4,198.41.0.4,10.10.77.20,ICMP,55.0,32,"[{'rtt': 169.834015}, {'rtt': 169.388449}, {'rtt': 169.807612}]",0,3,3,169.388449,169.834015,169.676692,1009,62286,1789354434,Ping,157.10.129.97,ping,240,1789354563
5080,2.6.2,3,198.41.0.4,4,198.41.0.4,192.168.1.68,ICMP,52.0,32,"[{'rtt': 17.136754}, {'rtt': 17.151236}, {'rtt': 17.147396}]",0,3,3,17.136754,17.151236,17.14512866666667,1009,62287,1789354385,Ping,87.89.147.161,ping,240,1789354519
5080,2.6.2,8,198.41.0.4,4,198.41.0.4,192.168.99.80,ICMP,52.0,32,"[{'rtt': 37.05474}, {'rtt': 38.389992}, {'rtt': 37.95859}]",0,3,3,37.05474,38.389992,37.801107333333334,1009,62303,1789354421,Ping,37.215.43.242,ping,240,1789354464
5080,2.6.2,42,198.41.0.4,4,198.41.0.4,192.168.0.10,ICMP,56.0,32,"[{'rtt': 20.184591}, {'rtt': 18.661165}, {'rtt': 15.996586}]",0,3,3,15.996586,20.184591,18.28078066666667,1009,62318,1789354401,Ping,82.15.62.93,ping,240,1789354471
5080,2.6.2,32,198.41.0.4,4,198.41.0.4,192.168.31.74,ICMP,57.0,32,"[{'rtt': 24.227342}, {'rtt': 24.444242}, {'rtt': 24.465364}]",0,3,3,24.227342,24.465364,24.378982666666662,1009,62319,1789354391,Ping,78.120.132.231,ping,240,1789354481
5080,2.6.2,23,198.41.0.4,4,198.41.0.4,10.0.140.150,ICMP,49.0,32,"[{'rtt': 137.191221}, {'rtt': 144.720119}, {'rtt': 138.071067}]",0,3,3,137.191221,144.720119,139.99413566666666,1009,62322,1789354385,Ping,49.36.220.252,ping,240,1789354482
5080,2.6.2,19,198.41.0.4,4,198.41.0.4,192.168.22.69,ICMP,57.0,32,"[{'rtt': 30.464577}, {'rtt': 30.335368}, {'rtt': 30.438495}]",0,3,3,30.335368,30.464577,30.412813333333332,1009,62325,1789354380,Ping,185.35.143.130,ping,240,1789354418
5080,2.6.2,8,198.41.0.4,4,198.41.0.4,192.168.7.129,ICMP,54.0,32,"[{'rtt': 21.649068}, {'rtt': 20.485873}, {'rtt': 19.619578}]",0,3,3,19.619578,21.649068,20.584839666666667,1009,62343,1789354409,Ping,24.151.142.81,ping,240,1789354508
5080,2.6.2,5,198.41.0.4,4,198.41.0.4,10.0.1.87,ICMP,55.0,32,"[{'rtt': 4.026658}, {'rtt': 2.340883}, {'rtt': 3.901765}]",0,3,3,2.340883,4.026658,3.423102,1009,62344,1789354416,Ping,50.123.114.98,ping,240,1789354440
5080,2.6.2,2,198.41.0.4,4,198.41.0.4,192.168.0.179,ICMP,56.0,32,"[{'rtt': 18.678387}, {'rtt': 21.222956}, {'rtt': 16.04765}]",0,3,3,16.04765,21.222956,18.649664333333334,1009,62416,1789354398,Ping,84.196.164.1,ping,240,1789354452
5080,2.6.2,7,198.41.0.4,4,198.41.0.4,192.168.10.197,ICMP,53.0,32,"[{'rtt': 47.215185}, {'rtt': 47.183822}, {'rtt': 49.286185}]",0,3,3,47.183822,49.286185,47.895064,1009,62417,1789354409,Ping,153.66.203.124,ping,240,1789354462
5080,2.6.2,20,198.41.0.4,4,198.41.0.4,192.168.1.16,ICMP,56.0,32,"[{'rtt': 14.325418}, {'rtt': 13.713441}, {'rtt': 13.888497}]",0,3,3,13.713441,14.325418,13.975785333333334,1009,62422,1789354423,Ping,93.245.115.192,ping,240,1789354471
5080,2.6.2,23,198.41.0.4,4,198.41.0.4,192.168.1.22,ICMP,55.0,32,"[{'rtt': 13.704575}, {'rtt': 15.183043}, {'rtt': 15.336819}]",0,3,3,13.704575,15.336819,14.741479,1009,62425,1789354426,Ping,176.161.98.185,ping,240,1789354464
5080,2.6.2,32,198.41.0.4,4,198.41.0.4,192.168.0.7,ICMP,52.0,32,"[{'rtt': 67.178423}, {'rtt': 66.869605}, {'rtt': 66.991532}]",0,3,3,66.869605,67.178423,67.01318666666667,1009,62443,1789354396,Ping,190.143.251.180,ping,240,1789354488
5080,2.6.2,40,198.41.0.4,4,198.41.0.4,10.10.0.187,ICMP,56.0,32,"[{'rtt': 9.962188}, {'rtt': 10.210452}, {'rtt': 9.932985}]",0,3,3,9.932985,10.210452,10.035208333333335,1009,62462,1789354433,Ping,63.135.76.101,ping,240,1789354505
5080,2.6.2,55,198.41.0.4,4,198.41.0.4,192.168.1.141,ICMP,55.0,32,"[{'rtt': 19.1336}, {'rtt': 17.285811}, {'rtt': 19.182322}]",0,3,3,17.285811,19.182322,18.533911,1009,62468,1789354383,Ping,94.107.147.155,ping,240,1789354453
5080,2.6.2,1,198.41.0.4,4,198.41.0.4,192.168.1.41,ICMP,56.0,32,"[{'rtt': 14.429423}, {'rtt': 15.214296}, {'rtt': 13.994503}]",0,3,3,13.994503,15.214296,14.546073999999999,1009,62481,1789354406,Ping,193.121.41.173,ping,240,1789354453
5080,2.6.2,2,198.41.0.4,4,198.41.0.4,192.168.1.113,ICMP,57.0,32,"[{'rtt': 23.654772}, {'rtt': 22.922566}, {'rtt': 23.097616}]",0,3,3,22.922566,23.654772,23.224984666666668,1009,62482,1789354404,Ping,213.55.247.137,ping,240,1789354459
5080,2.6.2,6,198.41.0.4,4,198.41.0.4,44.32.76.99,ICMP,55.0,32,"[{'rtt': 71.595555}, {'rtt': 76.636926}, {'rtt': 70.773782}]",0,3,3,70.773782,76.636926,73.00208766666667,1009,62495,1789354430,Ping,44.32.76.99,ping,240,1789354471
